,LAchildID,CINdetailsID,CINreferralDate,ReferralSource,PrimaryNeedCode,CINclosureDate,ReasonForClosure,DateOfInitialCPC,ReferralNFA
0,RND000215205141,1,13/07/2020,4,N6,11/06/2021,RC2,29/09/2020,FALSE
1,RND000824303014,1,25/10/2013,6,N8,01/01/2014,RC1,13/12/2013,FALSE
2,RND000824303014,2,22/10/2017,3A,N9,,,05/11/2017,FALSE
3,RND000750143123,1,14/01/2020,2A,N4,16/06/2020,RC4,20/03/2020,FALSE
4,RND000750143123,2,07/02/2022,9,N9,,,01/05/2022,FALSE
5,RND000909164501,1,13/04/2016,2B,N3,26/09/2020,RC1,16/04/2016,FALSE
6,RND000382171815,1,02/04/2021,2A,N3,23/06/2021,RC3,02/04/2021,FALSE
7,RND000471630058,1,30/01/2022,10,N8,05/03/2022,RC6,24/02/2022,FALSE
8,RND000471630058,2,30/06/2022,6,N6,,,12/07/2022,FALSE
9,RND000852873211,1,01/07/2018,1A,N9,23/08/2019,RC4,04/09/2018,FALSE
10,RND000756924984,1,23/10/2021,1B,N1,27/06/2022,RC2,08/11/2021,FALSE
11,RND000783483042,1,10/11/2018,10,N6,10/02/2019,RC4,03/01/2019,FALSE
12,RND000783483042,2,05/01/2020,8,N6,26/03/2020,RC4,20/02/2020,FALSE
13,RND000156327378,1,18/05/2012,8,N8,09/02/2015,RC1,31/07/2012,FALSE
14,RND000003988611,1,25/06/2022,7,N6,,,,FALSE
15,RND000145964737,1,20/10/2014,3F,N9,,,16/11/2014,FALSE
16,RND000078434730,1,21/04/2022,3A,N2,,,10/05/2022,FALSE
17,RND000418556078,1,29/08/2013,5B,N8,07/05/2014,RC8,06/09/2013,FALSE
18,RND000526519397,1,15/06/2018,2B,N1,22/08/2019,RC4,22/08/2018,FALSE
19,RND000616439909,1,21/04/2020,3B,N6,,,,FALSE
20,RND000232303292,1,14/10/2014,3B,N0,27/08/2016,RC7,07/11/2014,FALSE
21,RND000017573879,1,23/01/2022,3C,N3,,,30/03/2022,FALSE
22,RND000123072563,1,15/08/2020,5A,N8,,,,FALSE
23,RND000958425881,1,18/03/2012,2B,N7,26/07/2012,RC4,07/05/2012,FALSE
24,RND000637989614,1,29/06/2022,1C,N0,,,,FALSE
25,RND000008856809,1,27/09/2017,5B,N9,26/03/2018,RC4,19/12/2017,FALSE
26,RND000230396736,1,10/10/2016,3D,N6,06/02/2019,RC2,24/11/2016,FALSE
27,RND000576956056,1,26/11/2006,2B,N3,05/02/2011,RC6,30/11/2006,FALSE
28,RND000667474914,1,23/04/2015,5A,N3,17/07/2019,RC5,18/07/2015,FALSE
29,RND000888769219,1,13/09/2010,3A,N9,,,18/11/2010,FALSE
30,RND000528508628,1,08/11/2012,3A,N9,24/01/2016,RC8,31/01/2013,FALSE
31,RND000710741505,1,18/01/2008,6,N4,23/05/2009,RC6,24/03/2008,FALSE
32,RND000426282838,1,26/10/2012,3A,N5,18/07/2015,RC7,04/12/2012,FALSE
33,RND000426282838,2,02/08/2019,1D,N0,17/08/2019,RC2,,FALSE
34,RND000982548153,1,13/05/2020,10,N4,27/07/2020,RC7,19/07/2020,FALSE
35,RND000272899308,1,27/10/2020,7,N8,26/03/2021,RC2,07/11/2020,FALSE
